gia ton kivo 
	akmi		emvadon		xwritikotita		xwritikotita/kostos 
1.424020		12.166995		2.887674		12166.995117		0.000237 
1.425020		12.184090		2.893762		12184.089844		0.000238 
1.426020		12.201197		2.899858		12201.196289		0.000238 
1.427020		12.218316		2.905963		12218.316406		0.000238 
1.428020		12.235447		2.912077		12235.447266		0.000238 
1.429020		12.252590		2.918199		12252.589844		0.000238 
1.430020		12.269745		2.924330		12269.745117		0.000238 
1.431020		12.286912		2.930470		12286.912109		0.000239 
1.432020		12.304090		2.936618		12304.090820		0.000239 
1.433020		12.321282		2.942774		12321.282227		0.000239 
1.434020		12.338485		2.948940		12338.484375		0.000239 
1.435020		12.355700		2.955113		12355.700195		0.000239 
1.436020		12.372927		2.961296		12372.926758		0.000239 
1.437020		12.390166		2.967487		12390.166016		0.000240 
1.438020		12.407417		2.973687		12407.416992		0.000240 
1.439021		12.424681		2.979895		12424.680664		0.000240 
1.440021		12.441956		2.986112		12441.955078		0.000240 
1.441021		12.459243		2.992337		12459.243164		0.000240 
1.442021		12.476542		2.998572		12476.541992		0.000240 
1.443021		12.493853		3.004815		12493.852539		0.000241 
1.444021		12.511175		3.011066		12511.174805		0.000241 
1.445021		12.528511		3.017326		12528.510742		0.000241 
1.446021		12.545857		3.023595		12545.857422		0.000241 
1.447021		12.563217		3.029873		12563.216797		0.000241 
1.448021		12.580587		3.036159		12580.586914		0.000241 
1.449021		12.597971		3.042454		12597.970703		0.000242 
1.450021		12.615366		3.048758		12615.366211		0.000242 
1.451021		12.632773		3.055070		12632.773438		0.000242 
1.452021		12.650192		3.061391		12650.192383		0.000242 
1.453021		12.667624		3.067721		12667.623047		0.000242 
1.454021		12.685066		3.074059		12685.066406		0.000242 
1.455021		12.702521		3.080406		12702.521484		0.000243 
1.456021		12.719988		3.086762		12719.988281		0.000243 
1.457021		12.737468		3.093127		12737.467773		0.000243 
1.458021		12.754958		3.099500		12754.958008		0.000243 
1.459021		12.772462		3.105883		12772.461914		0.000243 
1.460021		12.789977		3.112273		12789.977539		0.000243 
1.461022		12.807504		3.118673		12807.503906		0.000244 
1.462022		12.825043		3.125082		12825.042969		0.000244 
1.463022		12.842594		3.131499		12842.593750		0.000244 
1.464022		12.860157		3.137925		12860.157227		0.000244 
1.465022		12.877732		3.144360		12877.732422		0.000244 
1.466022		12.895319		3.150803		12895.319336		0.000244 
1.467022		12.912918		3.157255		12912.917969		0.000245 
1.468022		12.930530		3.163717		12930.529297		0.000245 
1.469022		12.948153		3.170187		12948.152344		0.000245 
1.470022		12.965788		3.176665		12965.788086		0.000245 
1.471022		12.983435		3.183153		12983.434570		0.000245 
1.472022		13.001094		3.189649		13001.093750		0.000245 
1.473022		13.018764		3.196155		13018.764648		0.000246 
1.474022		13.036448		3.202669		13036.447266		0.000246 
1.475022		13.054143		3.209192		13054.142578		0.000246 
1.476022		13.071850		3.215724		13071.849609		0.000246 
1.477022		13.089569		3.222264		13089.569336		0.000246 
1.478022		13.107300		3.228814		13107.299805		0.000246 
1.479022		13.125043		3.235372		13125.042969		0.000247 
1.480022		13.142798		3.241939		13142.798828		0.000247 
1.481022		13.160565		3.248516		13160.565430		0.000247 
1.482023		13.178345		3.255100		13178.344727		0.000247 
1.483023		13.196136		3.261694		13196.135742		0.000247 
1.484023		13.213939		3.268297		13213.938477		0.000247 
1.485023		13.231754		3.274909		13231.753906		0.000248 
1.486023		13.249581		3.281530		13249.581055		0.000248 
1.487023		13.267420		3.288159		13267.419922		0.000248 
1.488023		13.285272		3.294798		13285.271484		0.000248 
1.489023		13.303134		3.301445		13303.133789		0.000248 
1.490023		13.321010		3.308101		13321.009766		0.000248 
1.491023		13.338897		3.314767		13338.896484		0.000249 
1.492023		13.356795		3.321441		13356.794922		0.000249 
1.493023		13.374707		3.328124		13374.707031		0.000249 
1.494023		13.392630		3.334816		13392.629883		0.000249 
1.495023		13.410565		3.341517		13410.565430		0.000249 
1.496023		13.428513		3.348228		13428.512695		0.000249 
1.497023		13.446471		3.354947		13446.471680		0.000250 
1.498023		13.464442		3.361675		13464.442383		0.000250 
1.499023		13.482426		3.368412		13482.425781		0.000250 
1.500023		13.500421		3.375158		13500.420898		0.000250 
1.501023		13.518428		3.381913		13518.427734		0.000250 
1.502023		13.536447		3.388677		13536.446289		0.000250 
1.503024		13.554478		3.395450		13554.477539		0.000251 
1.504024		13.572521		3.402232		13572.521484		0.000251 
1.505024		13.590576		3.409023		13590.576172		0.000251 
1.506024		13.608644		3.415823		13608.643555		0.000251 
1.507024		13.626722		3.422632		13626.722656		0.000251 
1.508024		13.644814		3.429451		13644.813477		0.000251 
1.509024		13.662917		3.436278		13662.916992		0.000252 
1.510024		13.681032		3.443114		13681.032227		0.000252 
1.511024		13.699159		3.449959		13699.158203		0.000252 
